Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
22.610228,0.158278,-8.823688,4.265716,27.764947
20.675833,0.135916,-5.599697,-0.92491,27.699178
19.257277,0.131641,-6.405695,-5.116098,27.600524
16.258964,0.108622,-3.375143,-4.213381,27.600524
13.96993,0.104347,2.68596,3.620918,27.633409
12.261215,0.105005,-1.601948,-0.538031,27.666293
9.295143,0.10632,-1.376269,-6.599134,27.534754
6.55475,0.113226,0.622606,0.461406,27.600524
2.8794,0.112568,0.106767,0.074527,27.600524
0.106767,0.105662,4.459156,-3.117224,27.633409
-1.634188,0.100401,-0.022192,-0.73147,27.666293
-2.698105,0.094482,1.622043,-0.183392,27.534754
-4.019941,0.097112,-0.118912,-4.245621,27.666293
-5.760897,0.086918,8.456905,-5.148338,27.732063
-6.760334,0.074751,4.168996,-4.793699,27.896486
-7.888731,0.081328,-3.955462,-9.629686,27.830717
-8.08217,0.077382,0.816045,-10.016565,27.732063
-7.953211,0.080999,-1.344029,-3.729782,27.732063
-7.211693,0.095139,0.203487,-6.341215,27.863602
-7.179453,0.091522,-0.634751,-7.566332,27.797832
-8.340089,0.089878,0.493646,-4.310101,27.732063
-9.404006,0.107964,-3.246184,-5.309538,27.863602
-9.500726,0.141178,-2.569145,-2.923784,27.699178
-10.081045,0.142493,-0.086672,-8.888168,27.764947
-10.306724,0.130984,-1.634188,-12.466798,27.764947
-12.273358,0.125722,-6.147776,-7.663051,27.797832
-12.821437,0.152688,0.396927,-2.407946,27.929371
-13.369515,0.173076,3.975557,2.008922,27.732063
-14.981511,0.177022,-2.859305,-3.697542,27.732063
-14.111033,0.184586,5.039474,-4.084421,27.764947
-13.949834,0.16617,2.460281,-0.151152,27.764947
-13.659675,0.176036,3.395238,1.525323,27.830717
-13.047116,0.20333,6.68371,-1.02163,27.732063
-12.563518,0.210565,4.684835,-9.017128,27.633409
-10.210004,0.222074,1.589803,-8.340089,27.699178
-8.694728,0.22043,3.072839,1.138445,27.732063
-5.083858,0.213195,3.975557,-0.76371,27.666293
-3.310663,0.203001,0.364687,-7.598572,27.666293
-0.92491,0.199055,-3.342903,-1.02163,27.567639
0.687086,0.204317,-3.471863,6.167871,27.600524
1.138445,0.214511,-0.98939,6.877149,27.732063
2.266841,0.197082,-4.084421,1.912202,27.666293
2.589241,0.187545,-4.729219,-4.37458,27.699178
3.459718,0.205632,-1.601948,-1.988827,27.699178
3.395238,0.229967,-3.665302,-2.988264,27.699178
2.97612,0.235886,0.719326,-4.148901,27.666293
2.94388,0.238188,0.622606,-5.341778,27.732063
2.62148,0.246738,2.8794,-6.373455,27.600524
1.396364,0.259563,4.426916,-1.215069,27.699178
1.106205,0.255617,-0.441311,1.170684,27.666293
1.202924,0.247396,4.620355,1.041725,27.764947
1.364124,0.229309,5.458593,1.364124,27.666293
1.912202,0.219444,2.395801,2.363561,27.699178
2.428041,0.22339,0.783805,4.330196,27.764947
3.491958,0.229967,3.782117,1.847723,27.699178
4.040037,0.250684,3.201799,-0.76371,27.732063
4.813795,0.267784,-4.858179,0.074527,27.699178
5.232913,0.276663,-1.182829,-1.408509,27.699178
6.973869,0.291132,-1.05387,2.395801,27.830717
7.908826,0.295078,-0.280112,4.523635,27.567639
9.037223,0.285542,-2.633625,-0.89267,27.666293
10.552499,0.282582,-1.827627,3.169559,27.600524
11.358497,0.291132,0.010048,3.878837,27.666293
12.325695,0.292448,0.558126,1.944442,27.567639
11.713136,0.290803,4.007797,2.91164,27.666293
11.777616,0.295407,5.716512,0.977245,27.600524
10.971618,0.273703,4.426916,3.653158,27.666293
9.714262,0.280609,2.589241,0.622606,27.732063
8.521385,0.281924,5.619792,0.751566,27.797832
6.167871,0.295736,9.714262,8.456905,27.732063
5.168434,0.276334,10.101141,6.45803,27.732063
4.426916,0.253972,6.232351,13.002733,27.600524
1.879963,0.212538,4.104517,11.519697,27.50187
-0.73147,0.181626,6.941629,5.039474,27.633409
-2.343466,0.166828,12.357935,7.231788,27.600524
-3.504103,0.146439,7.167308,7.264028,27.633409
-4.116661,0.129997,8.263465,11.713136,27.567639
-6.115536,0.111582,17.613041,7.521947,27.732063
-5.728657,0.096455,11.906576,-1.05387,27.699178
-5.309538,0.074093,11.422977,3.943317,27.666293
-5.664177,0.045483,11.390737,4.555875,27.830717
-5.793137,0.023451,12.777054,1.428604,27.666293
-5.889856,0.027068,11.519697,-2.375706,27.797832
-4.60026,0.036276,8.263465,-2.214506,27.699178
-4.181141,0.023122,10.681459,-0.054432,27.666293
-4.50354,0.005693,10.810419,0.590366,27.929371
-3.794262,0.021478,10.778179,2.266841,27.666293
-2.988264,0.033316,15.904325,-0.312352,27.929371
-2.214506,0.046141,12.873773,3.072839,27.699178
-2.375706,0.035618,11.551937,8.424665,27.699178
-3.342903,0.043181,13.228412,3.556438,27.962256
-3.858742,0.059295,14.937128,-0.76371,27.99514
-5.631937,0.058966,16.001045,-1.118349,27.863602
-7.920971,0.071462,8.553625,-2.536905,27.830717
-10.435684,0.094482,10.2301,-2.891545,27.764947
-10.854802,0.098757,9.004983,-5.696417,27.797832
-11.983199,0.093495,11.906576,-6.534654,27.666293
-14.175513,0.098099,12.067775,-4.052181,27.699178
-15.690789,0.112897,12.035535,-2.891545,27.732063
-17.141585,0.122762,14.614729,1.106205,27.699178
-18.560141,0.138547,11.938816,0.687086,27.830717
-19.817497,0.142164,11.068338,3.137319,27.699178
-20.494535,0.164855,14.743688,1.944442,27.732063
-20.591255,0.195767,10.2301,3.234039,27.666293
